Number,County,State,Latitude,Longitude,Classification,Date,Season,Temperature,Humidity,Cloud_cover,Precip_intensity,Visibility,Pressure,Wind_speed,Observed
55269,Sullivan County,New Hampshire,43.41549,-72.33093,Class A,2016-06-07,Summer,64,0.79,0.61,0.001,9.7,998.87,0.49,I was on my way to Claremont from Lebanon on Rte 120 and was passing by some reeds in a marshy area next to the road that sounded like a huge flock of birds. The creature came out of the reeds and was crouched down looking at me through them. Surprisingly it got out of the reeds from crouched to standing turned around and ran towards the wooded area up a hill and was moving with it's arms brush and tree branches out of the way. It was incredibly fast runner and I got a good look at its coconut shaped head as it ran away. It was light brown/brown. It had incredibly broad shoulders. I went back the same day. The marsh went up to my knees and I could smell a bad odor like garbage. Myself and a friend went back to the sighting. We found a footprint and a hair sample. I could hear wood knocks when my friend James did a call and we also found a large bed of branches and some tree structures. The following month I went back to Claremont and I heard screeching in the woods while I was traveling Rte. 120 on a bicycle.
49883,Warren County,New Jersey,40.89452,-74.79077,Class B,2015-10-02,Summer,46,0.87,0.93,0.0092,9.16,1022.92,2.87,"It was August of 1977 and I had missed my ride home from Hacketstown NJ to Byram NJ. The road to get back to Byram is Waterloo Rd. It was about 9:30-10:00 PM so I decided to hitch hike it on Waterloo hoping that someone would give me a lift back to HWY-206. It was very dark and as I was walking past Stephens State Park and then the old Saxton Falls area, I could hear something that sounded like it was on 2 feet stalking me in the woods on the ridge side of Waterloo Rd. It got very interesting when I started sprinting, it also started sprinting keeping up with me for what seemed like at least a mile. When I would walk, it would walk. It was loud as it went thru the woods as I stayed on the road hoping for a car to pick me up. Eventually I did get a ride near a few houses after passing an old Tavern on the river side of Waterloo Rd."
26830,Washington County,Ohio,39.42635,-81.37085,Class B,2009-10-31,Fall,51,0.77,0.81,0.0158,1.97,1011.48,3.94,"After getting online to your site we decided to go to a known sighting area as an afternoon excursion since the day was nice.  After walking up several steep inclines and falling often we came up to another ridge that was very difficult to climb for us. We spotted a foot print actually my boyfriend did. I knew he had found something when he called for me to come quick and climb up the last area. I climbed up and there it was a foot print.  I did not really believe in Bigfoot but now we are having second thoughts. Mind you we drove two hours one way, and walked for at least hour up hill off the trails.  We even went back the next day which was today 11/1/09 and made a cast of the print. Of course it was not as deep as yesterday but we still took the print and have pictures from yesterday on the cell phone."
6643,Washington County,Rhode Island,41.432,-71.65183,Class A,1978-07-15,Summer,65,0.88,0.8,0.0285,5.71,1014.7,5.47,"I've told very few people this story for fear that they might think I'm crazy. The only reason why I'm taking the time to report this is because of a recent entry a friend of mine who knew my story told me about. My story takes place in Charlestown, Rhode Island in the late 1970's. My mother and father and I lived in a wooded area abutting the ""Indian Cedar Swamp"" and property owned by United Nuclear which probably comprises several thousand acres. The property surrounding our home was mixed  white Atlantic juniper swamp,scarlet, red and white oaks with old growth white pine stands mixed in, with a dense understory of briars, mountain laurel and blue berry brush. We lived off a road with 3 houses on it. The houses were all built close to the entrance of this development. The road was part of a series of roads that were put in as the start of a development. The roads were oiled gravel and had been left to grow in after years of little or no use. It looked like the developer had started and went belly-up. These roads were great to ride bikes on or take a evening cruise on after bringing my father dinner at his second job. My mother drove a baby blue Mustang Mach 1 and she would drive around the roads with me looking at deer before we retired to our home for the evening. As a kid I remember this being a highlight to the evening. I was at the time maybe 8 years old and my mother and I on this particular night in the late 70's commenced our ride around the roads to see if we sould see any deer. It had been raining earlier with thunder and lightning mixed in. Now it was just raining. We were rounding a corner on one of the roads that paralleled the Indian Cedar Swamp and as we started downward,  we noticed the road was obstructed by a large blown down oak tree, the tree had green leaves (this makes me think it was summer or the early fall) on it so it had recently come down, we guessed maybe in the storm earlier(possibly lightning). The road was very narrow and the brush along the side of the road made it difficult to back the car around to turn around. The rain was falling but not heavy, the wipers were on, the headlights on the car were on as well. As my mother turned the front end  of the car the lights cast on the left side of the road where the tree had been broken off from its stump. We were maybe 1 1/2 car lengths from the stump. Beside the tall fractured stump stood what looked like a large white(yellow white) ape. It was maybe 6 to 7 feet tall, its hair was long, face flat, long massive arms, its head appeared to be without any neck, its chest was broad. My mother and I froze momentarily (5 seconds, maybe 10) and the figure remained still, staring at us. My mother floored the car into reverse. I remember ther terror of it all. The sound of gravel hitting inside the fender wells, the sound of the brush crushing against the car and then the acceleration as she sped off. We were clear as to what we saw and we have no question in our mind that we saw something or someone in ape like shape that night. This we are certain of. We need no one to tall us what we saw, it's crystal clear. For years we told no one. We would talk about it in our home in privacy and even my father found this story hard to accept. We've never forgotten this and this story would have never been told if it wasn't for someone else informing me of a similar sigthing. I'm now in my 30's an extremely active hunter, farmer and woodsman. I hunt deer 40 days a year in Maine, RI, CT and New Jersey. I use automated cameras which are triggered by heat. I've never seen a picture of a bigfoot on my film. I have seen pictures of deer on my 50 acre tract of land that I would never believe are there if I didn't see it on my film. I know every inch of my land and the surrounding property and these mystery deer show up at all hours on my cameras and frequently at that. How can they move right around our hunting parties in such a small area and never be seen, I'll never know, Even today I find it hard to accept what we definitely saw. I'm not a fan of ghosts, UFO's or even big foot. I'm not sure to this day what I saw wasn't a man in a costume, dressed up, out in rainstorm, a half mile or more from any home, waiting for my mother and me to drive down the road to give us a scare. The only thing I can say is it was a damn' good costume and a damn' good plan. We saw what we saw and this is something I would sware to on any polygraph test as I'm sure my mother would."
50297,Gallatin County,Montana,45.7922,-111.3637,Class B,2015-11-26,Summer,12,0.65,0.08,0.0002,10.0,1037.98,0.4,"I used to own a horse boarding facility which was/is located about 3/4 of mile south of the West Gallatin River and about 4 miles north of Belgrade, Montana on the south side of I-90.  One night at around 11 pm I was outside just before going to bed and I heard what I thought was a very loud screams from a woman west of me toward the river.  I was ready to get in my truck and investigate the screaming but the screams were not human.  All of the horses in my boarding pens were snorting and looking west toward the river.  My Australian shepherd dog was also acting very strange; growling and his hair was standing up.  A large number of whitetail deer lived along the river and routinely came down to my place to feed on any hay left over on the ground.  They were a real nuisance. I did not see or hear anything else but I will never forget that sound and the way the horses were acting; similar to smelling a bear.  Even the next morning, Butch, my dog was continually looking toward the river and acting very wary."
51959,Gallatin County,Montana,45.61331,-110.7897,Class B,2016-05-30,Spring,44,0.63,0.65,0.0007,9.8,1015.75,4.14,Saw very large humanoid footprints (two) in the hiking trail. The striking feature was the toe imprints -- very clear and pronounced. Photos available upon request.
65664,Mineral County,Montana,47.43904,-115.6545,Class A,2020-04-15,Spring,30,0.72,0.79,0.0064,6.992,1020.1,3.78,"I am an OTR truck driver. It was about 4:30 am near Tammany Montana near Lookout Pass. Had a very good look at a long reddish haired bigfoot standing up right on the back side of concrete barrier, long reddish brown hair. Couldn’t get a height since it was on other side of barrier. Saw the head and both arms on the barrier. Have very bright headlights on truck so got a good look. I am an avid hunter and outdoorsman. It did not have a pointy face. Eyes pointing forward. Saw it for about 5 to 10 seconds. It moved to my left extremely fast and was gone."
1649,Missoula County,Montana,47.03222,-114.0906,Class C,1989-07-13,Summer,65,0.81,0.58,0.0105,9.13,1019.68,7.85,"It has been awhile since this incident happened (1989), but I remember it well. The incident occured during the summer of 1989. I was working in my father's woodshop when my older brother (19 at the time) burst through the door. He was nearly out of breath and very distraught looking. He immediately demanded that I come outside right now. I asked him what was wrong but he just said, ""Come out here right now! Quick!."" I hurriedly followed him outside. It was late afternoon and the sun was just beginning to wane in the deeper parts of the forest. I asked him what was the matter. He told me to sush, and said ""listen!"" I could here that our grandparent's dog was going berserk. I could also recognize the bark of our dog in the distance as well. I asked my brother what was going on with the dogs and if they were fighting again. He said, ""SHHH! Not the dogs, listen!"" We were both silent, I didn't here anything. I asked him what I was supposed to be listening for. He said he heard something really weird, really freaky. I asked him what it sounded like. He said he could'nt really explain it, just that it sounded really weird. I told him that maybe he heard a mountain lion, as I had heard them on several occasions. They make a really strange sound like an inhuman woman screaming bloody murder. He said it didn't sound like a scream. He took off running down the road towards our grandparent's house calling for me to follow. I ran after him. Halfway to our grandparent's house I heard the sound. We both stopped in out tracks. I yelled to him ""What the hell was that?"" He excitedly replied, ""That's the sound I heard, that's it!"" I had heard a lot of strang sounds growing up in the deep woods over the years (elk mating calls, ruffed grouse beating their wings, coyotes, etc.), but never anything like this. I can't really describe the sound except that it was a high-pitched tone from a living thing that was very resonant, powerful, and well controlled in its execution. It made the hair stand up on the back of my neck. Soon, whatever it was out there in the woods ahead of us made the sound again, this time for a shorter duration and slightly broken. Another period of silence (other than the dogs going nuts). We continued running towards our grandparent's house. We soon arrived where the dogs were. Our dog was standing next to our grandparent's dog which was tied up. They were both looking and barking into the forest in the direction we had heard the sound coming from. I had never seen them bark like this, not even at bears. All of sudden, we heard a similar sound come from a completely different direction of the woods on the opposite side of us. Immediately the call was answered by another loud report where we originally heard the first sound. Whatever was out there, there seemed to be two of them and they seemed to be communicating. We continued to listen. Nothing for a minute or two. Then we heard two more distinct calls, this time from the same general direction in the woods, yet seperated. They were now coming from a farther distance. Again they seemed to be replying or communicating to one another. We continued to listen for several minutes, but the sounds did not occur again. We told our family members about it but no one really paid much attention as they had not heard the sounds and since we lived right in the middle of an area used by bears and other animals to travel through the wilderness regularly (the tribe caught 7 bears in one summer using live bear traps near our house!) they probably assumed it was just some animal out in the woods. In any case, I have never forgotten the incident and often think of the surreal event every time I go back to the wilderness."
9873,Missoula County,Montana,47.06032,-114.0717,Class A,2004-07-20,Summer,63,0.71,0.41,0.0013,9.96,1015.77,1.63,"In mid july 2004 I was on my back porch it faces east and it faces a mountain I live in the woods on the side of my house where the creature was the house is scarecly wooded and the land is flat.  The sun was shining. The reason I went out side is this, my dogs started to bark and run through the house they got half way through the dog door stopped an whined. I thought that was odd so I went and sat on the back porch. Then I saw the tree to my left move and the tree was about 300 yards away from me or less I am bad with measurements.  So I watched the tree to see what caught my eye and then I saw the creature.  It was behind the tree looking out from behind it.  It's head was in the banches and it was hunching.   Is's head was large and it had a definate brow I thought I was seeing an oranatang.  Except it was about 6 and ahalf feet tall.  It was moving it's head aroud the tree to watch me as I stood up to get a better look. It's hair was a rust color like to color of dead pine needles, It's eyes were haunting. And it was completely silent.  It was watching me while I was watching it.  I sat back down.  I watched outside for about 6 minutes and didn't tell the person on the phone. Then I went in the house and watched throught the window to make sure it wasn't a trick of shadow.  Then the creature moved in front of the tree, staying hunched over but watching me in the window. I watched a few more minutes and then went to the back of the house when I went back it was gone.  While this was going on my kids were in the front yard playing in the water.  I think if the creature had been aggressive it would have made some sort of move. but it d=seemed peaceful. It seemed to be curious I think it was young to be in such a vulnerable open area. When my husband came home we went out to the tree and all of the knapweed was completely trampled down around the tree. We didn't find any hair though.  I look every day To see if it ou t there again but to no avail."
59607,Missoula County,Montana,46.93335,-113.8334,Class B,2018-06-19,Summer,50,0.93,0.89,0.0031,9.997,1019.3,3.72,"My family and I have been camping out on the edge of the Lolo Nat. Forest (Rattlesnake Wilderness) for the past few weeks. During the past several nights we have been having encounters with some sort of animal which we first thought was a bear. However, durring the daylight hours we have been finding many young trees literally being broken which we have numerous pictures of. We are camping in an area which is 9 miles up a dirt road near the Sheep Mountain trailhead. Several of the broken trees that we have been finding are very close to our campsite while others are up and down the road. There has not been any strong winds in this area for well over a week but yet these trees are broken several feet up from the ground which as anyone well knows, is not normal. We keep hearing something large and heavy walking through the brush and rocks have been thrown at one of our tents. We are all very much in the belief that we are being visited by a sasquach."
26013,Richmond County,North Carolina,35.0554,-79.88049,Class B,2008-10-18,Fall,53,0.8,0.95,0.0081,9.4,1018.31,4.52,"Last  September a friend and I went to scout a place to deerhunt up close to the Pee Dee River.I am disabled from a heavy equipment accident and i needed to kill deer to feed my son and me so we were trying to find a place that i could hunt and be comfortable and not too hard for me to access.We noticed a strong smell and my friend has hunted this place 30 years and i ask him if he had ever smelled anything like it and he said no.Opening day of regular gun season on October I parked my truck at the gate and my friend went by boat to his stand.As I was going in I noticed that stinking smell again as I got to my stand it sounded like something was following me the whole time on the way in there and it sounded like someone hitting trees with baseball bats.I hunted there everyday a lot of times by myself one day going to my stand I saw one just one track about 23 inches long and it was compacted in the ground about 2 inches I weigh 300 lbs. and my track only went down about half an inch. I contacted John Shaw with the N.C Wildlife Resource Commision he a Biologist he came down and met me and i showed him the track he said he could see what i was saying but the track was contaminated so we left it at that. About 2 weeks later i was hunting a stream right down from this spot and heard a huge splash in the water and i thought it was a deer so i waited,but never saw anything about 20 minutes later I went up the creek a few hundred feet and in a place in the creek I saw 1 track again on a rock bottom creek very hard my track didn't show up when i crossed the creek but this track 20 plus inches was down about an inch into the hard rockbed bottom of the creek since it was only one track again I didn't bother calling the biologist back,but i saw other signs like stick formations,large patches of vegetation that looked like it had been rolled over by a steam roller,several tracks in the leaves with long strides about 4 feet,found where 2 animals had been killed looked like something put a deer up on a big limb about 8 feet of the ground you coud see the deer hide all over the limb and found where an animal had just been freshly killed one day hunting in there was only person up there that day and something killed an animal near the river it looked like a pile of manure had been steamed rolled into about a four foot wide area on the road about eight feet long and a lot of blood on the ground but no guts and no corpse and that strange smell was there every day.I have hunted a lot of places since i was 5 years old I am 44 now,but this is the only place i have ever hunted that gives me the creeps,I know of a few sighting close to this place,it's not far from the highway 220 incident yall reported and not too far from where the one in Montgomery county was spotted.I don't care to be interviewed by the media please but i believe I can show you where you can actually find Bigfoot"
64024,Swain County,North Carolina,35.33783,-83.52992,Class A,2020-01-31,Winter,40,0.89,0.81,0.0029,9.23,1021.4,3.22,"I want to report a sighting of a huge Bigfoot. As my husband and I often do, we were taking a short cut across the mountain here in western NC, heading home. As I was driving along the river, there was a very strange looking, what I thought was an odd looking man, and as we passed it, I said to my husband, "" That is a strange looking person,"" and as I looked into the rear view mirror, it stood up on the road and was watching us driving away, and that is when I realized what it really was. I told my husband that it is a Bigfoot!!! In a panic I drove away and my husband insisted that we turn around and go back. I was in tears from the fear, but we found an area to turn around and I do so.  As we approached that area, we saw it on the side of the road watching us. He was HUGE!!!! My husband got out of the car to get a better look and he couldn't believe what we were looking at. It had to be at least 8-9 feet tall, covered in long black hair all over it's body. It was massive. We were about 100 yards away and nothing was obstructing our view. I yelled at my husband to get back into the car and I managed to turn my jeep around and I got the heck out of there!!"
67749,Wilkes County,North Carolina,36.0055,-81.08335,Class A,2019-11-18,Winter,42,0.94,0.98,0.0021,7.854,1008.8,1.24,I saw a bigfoot and I have pictures of its foot prints
